QueryID	SubjectID	Identity	AlignmentLen	Mismatch	GapOpen	QueryStart	QueryEnd	SubjectStart	SubjectEnd	E-value	BitScore	SubjectDefID	SubjectDef
QZIT01000006.1_MCP_1	gb|MEM4700657.1|	23.636	275	210	15	4	267	41	311	7.24188e-97	297	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3760319.1|	23.636	275	210	15	4	267	41	311	8.34499e-97	297	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3875394.1|	24	275	209	15	4	267	41	311	8.52901e-97	297	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM1540529.1|	24	275	209	15	4	267	41	311	3.52057e-96	295	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2463758.1|	24	275	209	15	4	267	41	311	6.48376e-96	294	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3596514.1|	23.636	275	210	15	4	267	41	311	5.4954e-95	292	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2971509.1|	23.273	275	211	15	4	267	41	311	6.06201e-95	292	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3577564.1|	24.364	275	208	15	4	267	41	311	7.3765e-95	292	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3704697.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3463893.1|	22.545	275	213	15	4	267	43	313	3.95221e-94	290	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3731716.1|	22.182	275	214	15	4	267	43	313	1.36942e-93	289	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3785532.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2445906.1|	23.358	274	210	15	4	266	42	311	2.63448e-93	288	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3697129.1|	24.088	274	208	15	4	266	41	310	2.7828e-93	288	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3699836.1|	23.723	274	209	15	4	266	41	310	3.06965e-93	288	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM1566778.1|	23.358	274	210	15	4	266	42	311	3.42222e-93	288	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2254890.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2517951.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2643045.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2780502.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2387441.1|	23.358	274	210	15	4	266	42	311	4.90644e-93	287	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2816179.1|	26.182	275	203	15	4	267	41	311	5.12371e-93	287	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3161830.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MBS7608679.1|	23.358	274	210	15	4	266	42	311	5.46841e-93	287	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM1565227.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2242846.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2318848.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2355733.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3459040.1|	22.909	275	212	15	4	267	41	311	8.36771e-93	287	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3460642.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3632659.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3668594.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MBS7646326.1|	23.358	274	210	15	4	266	42	311	8.7379e-93	287	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM2281896.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3361199.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM0095023.1|	23.358	274	210	15	4	266	42	311	8.93047e-93	287	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3357051.1|	24.088	274	208	15	4	266	41	310	1.01815e-92	286	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2263322.1|	23.723	274	209	15	4	266	42	311	1.13504e-92	286	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2463258.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MBX5328641.1|	22.545	275	213	15	4	267	41	311	1.199e-92	286	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-5] >gb|MDH7558391.1| phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|RLI16989.1|	22.909	275	212	15	4	267	41	311	1.45889e-92	286	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MCS7124766.1|	23.723	274	209	15	4	266	41	310	2.20747e-92	286	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM3379139.1|	23.273	275	211	15	4	267	41	311	2.71538e-92	285	hypothetical	protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|RJS76989.1|	24.364	275	208	15	4	267	41	311	3.37673e-92	285	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|RJS77690.1|	22.909	275	212	15	4	267	41	311	3.84854e-92	285	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MBX5321845.1|	22.993	274	211	15	4	266	41	310	7.32068e-92	284	hypothetical	protein [Candidatus Bathyarchaeota archaeon A05DMB-3] >gb|MDH7607676.1| phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM3356737.1|	22.993	274	211	15	4	266	41	310	8.07512e-92	284	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MCX8177957.1|	25.455	275	205	15	4	267	38	308	1.20986e-91	284	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM3875132.1|	23.723	274	209	15	4	266	41	310	1.86888e-91	283	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3054505.1|	22.628	274	212	15	4	266	41	310	1.88935e-91	283	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MFB3887945.1|	22.909	275	212	15	4	267	41	311	2.10601e-91	283	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MBS7615604.1|	22.263	274	213	15	4	266	41	310	2.12997e-91	283	hypothetical	protein [Candidatus Bathyarchaeota archaeon] >gb|MEM2147909.1| hypothetical protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3566286.1|	23.358	274	210	15	4	266	41	310	2.59156e-91	283	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3729023.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM2995327.1|	22.628	274	212	15	4	266	41	310	2.61996e-91	283	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MCW4004608.1|	22.545	275	213	15	4	267	41	311	3.63147e-91	283	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM0006833.1|	22.993	274	211	15	4	266	41	310	4.37244e-91	282	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MCW4045244.1|	20.727	275	218	15	4	267	43	313	5.19797e-91	282	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM2971116.1|	22.628	274	212	15	4	266	41	310	5.55696e-91	282	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MEM3553421.1|	22.628	274	212	15	4	266	41	310	6.47278e-91	282	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3612754.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3735903.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3773778.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3840681.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MCW3983658.1|	22.909	275	212	15	4	267	40	310	1.24459e-90	281	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MCW4029512.1|	20	275	220	15	4	267	40	310	1.43398e-90	281	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MEM3626450.1|	24.818	274	206	15	4	266	41	310	1.70708e-90	281	hypothetical	protein [Candidatus Bathyarchaeia archaeon]
QZIT01000006.1_MCP_1	gb|MBT0158951.1|	21.455	275	216	15	4	267	43	313	2.2381e-90	281	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-2]
QZIT01000006.1_MCP_1	gb|NWF86519.1|	22.182	275	214	15	4	267	41	311	2.29096e-90	281	hypothetical	protein [Candidatus Bathyarchaeota archaeon]
QZIT01000006.1_MCP_1	gb|MCL4429644.1|	22.182	275	214	15	4	267	40	310	2.34143e-90	281	phage	major capsid protein [Chloroflexota bacterium]
QZIT01000006.1_MCP_1	tpg|HVO37047.1|	22.545	275	213	15	4	267	40	310	2.81926e-90	280	hypothetical	protein [Candidatus Acidiferrum sp.]
