QueryID	SubjectID	Identity	AlignmentLen	Mismatch	GapOpen	QueryStart	QueryEnd	SubjectStart	SubjectEnd	E-value	BitScore	SubjectDefID	SubjectDef
JAIPET010000001.1_MCP	gb|MEM3760319.1|	24.727	275	207	15	4	267	41	311	9.35322e-93	286	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM4700657.1|	25.091	275	206	15	4	267	41	311	1.17589e-92	286	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3875394.1|	25.455	275	205	15	4	267	41	311	1.61302e-92	286	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM1540529.1|	25.455	275	205	15	4	267	41	311	5.83676e-92	285	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2463758.1|	25.455	275	205	15	4	267	41	311	9.84819e-92	284	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2971509.1|	24.727	275	207	15	4	267	41	311	4.8872e-91	282	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3596514.1|	25.091	275	206	15	4	267	41	311	6.6308e-91	282	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3697129.1|	25.455	275	205	15	4	267	41	311	1.13914e-89	279	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3699836.1|	25.091	275	206	15	4	267	41	311	1.70465e-89	278	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3357051.1|	25.455	275	205	15	4	267	41	311	4.90394e-89	277	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2816179.1|	26.909	275	201	15	4	267	41	311	6.72572e-89	277	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3161830.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2445906.1|	25.725	276	205	15	3	267	41	312	1.33502e-88	276	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MBS7608679.1|	25.725	276	205	15	3	267	41	312	1.45657e-88	276	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM1565227.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2242846.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2318848.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2355733.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM1566778.1|	25.725	276	205	15	3	267	41	312	2.48377e-88	275	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2254890.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2517951.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2643045.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2780502.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|RJS76989.1|	25.091	275	206	15	4	267	41	311	2.89484e-88	275	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2263322.1|	26.087	276	204	15	3	267	41	312	2.98898e-88	275	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2463258.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2387441.1|	25.725	276	205	15	3	267	41	312	3.76215e-88	275	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3577564.1|	25.455	275	205	15	4	267	41	311	4.42691e-88	275	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3704697.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM0095023.1|	25.725	276	205	15	3	267	41	312	5.266e-88	275	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MBS7646326.1|	25.725	276	205	15	3	267	41	312	5.5607e-88	275	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM2281896.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3361199.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCX8177957.1|	26.182	275	203	15	4	267	38	308	1.92991e-87	273	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCS7124766.1|	25.362	276	206	15	3	267	40	311	2.03364e-87	273	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM3875132.1|	25.362	276	206	15	3	267	40	311	2.42073e-87	273	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3463893.1|	23.636	275	210	15	4	267	43	313	2.47027e-87	273	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3566286.1|	25.362	276	206	15	3	267	40	311	4.50319e-87	272	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3729023.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2995327.1|	24.364	275	208	15	4	267	41	311	5.02125e-87	272	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3731716.1|	23.273	275	211	15	4	267	43	313	6.44009e-87	272	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3785532.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3379139.1|	24.638	276	208	15	3	267	40	311	6.73751e-87	272	hypothetical	protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3459040.1|	23.636	275	210	15	4	267	41	311	7.27115e-87	271	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3460642.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3632659.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3668594.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3356737.1|	23.636	275	210	15	4	267	41	311	7.5126e-87	271	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM0006833.1|	25	276	207	15	3	267	40	311	8.65501e-87	271	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MBX5328641.1|	23.273	275	211	15	4	267	41	311	1.49181e-86	271	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-5] >gb|MDH7558391.1| phage major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|RLI16989.1|	24	275	209	15	4	267	41	311	1.57528e-86	271	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM3553421.1|	24.638	276	208	15	3	267	40	311	1.70004e-86	271	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3612754.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3735903.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3773778.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3840681.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MBX5321845.1|	24.275	276	209	15	3	267	40	311	2.09076e-86	270	hypothetical	protein [Candidatus Bathyarchaeota archaeon A05DMB-3] >gb|MDH7607676.1| phage major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2386006.1|	24.727	275	207	15	4	267	41	311	2.74485e-86	270	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM3054505.1|	23.913	276	210	15	3	267	40	311	2.83599e-86	270	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|RJS77690.1|	24	275	209	15	4	267	41	311	5.7551e-86	269	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2971116.1|	24	275	209	15	4	267	41	311	6.55831e-86	269	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM1564036.1|	24.727	275	207	15	4	267	32	302	7.28361e-86	269	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MBS7615604.1|	23.551	276	211	15	3	267	40	311	8.9931e-86	269	hypothetical	protein [Candidatus Bathyarchaeota archaeon] >gb|MEM2147909.1| hypothetical protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MFB3887945.1|	25.455	275	205	15	4	267	41	311	1.02391e-85	269	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM4700629.1|	25	276	207	15	3	267	40	311	1.03604e-85	269	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCW4004608.1|	24.364	275	208	15	4	267	41	311	1.19248e-85	268	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW3983658.1|	24.727	275	207	15	4	267	40	310	1.27411e-85	268	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM3626450.1|	25.818	275	204	15	4	267	41	311	2.10228e-85	268	hypothetical	protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCW4029512.1|	22.545	275	213	15	4	267	40	310	2.26874e-85	268	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|NWF86519.1|	22.545	275	213	15	4	267	41	311	2.44838e-85	268	hypothetical	protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|NWG10248.1|	22.545	275	213	15	4	267	41	311	2.52966e-85	268	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	tpg|HVO37047.1|	23.636	275	210	15	4	267	40	310	2.91686e-85	268	hypothetical	protein [Candidatus Acidiferrum sp.]
JAIPET010000001.1_MCP	gb|MEM1564175.1|	24.364	275	208	15	4	267	32	302	3.03329e-85	267	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM2631354.1|	24.364	275	208	15	4	267	43	313	4.12077e-85	267	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MEM1564061.1|	25	276	207	15	3	267	40	311	5.53921e-85	267	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2263334.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2676245.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCL4429644.1|	24	275	209	15	4	267	40	310	7.11505e-85	266	phage	major capsid protein [Chloroflexota bacterium]
JAIPET010000001.1_MCP	gb|MCW3994585.1|	22.545	275	213	15	4	267	41	311	8.36886e-85	266	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW4017352.1|	23.273	275	211	15	4	267	42	312	9.42393e-85	266	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MBT0160738.1|	23.636	275	210	15	4	267	41	311	1.076e-84	266	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-2]
JAIPET010000001.1_MCP	gb|MEM3616673.1|	24.638	276	208	15	3	267	40	311	2.99328e-84	265	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCW4045244.1|	21.818	275	215	15	4	267	43	313	3.15082e-84	265	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2675865.1|	24	275	209	15	4	267	43	313	3.29451e-84	265	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|RLE39465.1|	80.597	268	52	0	1	268	1	268	3.30879e-84	263	MAG:	phage major capsid protein [Candidatus Woesearchaeota archaeon]
JAIPET010000001.1_MCP	gb|MBT0158951.1|	24	275	209	15	4	267	43	313	4.18122e-84	264	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-2]
JAIPET010000001.1_MCP	gb|MCW4006166.1|	23.273	275	211	15	4	267	41	311	6.11265e-84	264	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW4010644.1|	23.636	275	210	15	4	267	41	311	6.9882e-84	264	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCD6431826.1|	24.727	275	207	15	4	267	41	311	8.50935e-84	264	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|RJS69027.1|	24.727	275	207	15	4	267	43	313	1.31221e-83	263	MAG:	hypothetical protein CW693_03285 [Candidatus Bathyarchaeota archaeon] >gb|RLI16524.1| MAG: hypothetical protein DRO41_01475 [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2108745.1|	24.364	275	208	15	4	267	40	310	1.31645e-83	263	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCW3993104.1|	24.818	274	206	15	4	266	41	310	1.45038e-83	263	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW3984500.1|	24.727	275	207	15	4	267	40	310	1.72623e-83	263	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW4024767.1|	22.545	275	213	15	4	267	40	310	2.3158e-83	263	hypothetical	protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW3998741.1|	23.273	275	211	15	4	267	40	310	2.38183e-83	263	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW3984154.1|	23.273	275	211	15	4	267	41	311	4.69233e-83	262	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MBT0159051.1|	22.909	275	212	15	4	267	41	311	5.23762e-83	262	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-2]
JAIPET010000001.1_MCP	gb|MBN1244787.1|	23.723	274	209	15	4	266	41	310	9.31286e-83	261	hypothetical	protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2129292.1|	24.727	275	207	15	4	267	41	311	1.10966e-82	261	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCF7798997.1|	99.627	268	1	0	1	268	1	268	1.37667e-82	259	phage	major capsid protein [Candidatus Woesearchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM0314104.1|	25.091	275	206	15	4	267	12	282	1.46028e-82	259	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCJ7559976.1|	22.182	275	214	15	4	267	27	297	1.71883e-82	260	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MEM2107830.1|	25.54	278	207	15	1	267	37	310	1.99918e-82	260	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCW4048041.1|	24	275	209	15	4	267	40	310	3.75758e-82	259	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MCW4005265.1|	23.273	275	211	15	4	267	40	310	3.83568e-82	259	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|MBT0159311.1|	23.636	275	210	15	4	267	41	311	4.66538e-82	259	phage	major capsid protein [Candidatus Bathyarchaeota archaeon A05DMB-2]
JAIPET010000001.1_MCP	gb|MEM2119121.1|	22.909	275	212	15	4	267	44	314	4.80223e-82	259	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM4704260.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCL5877286.1|	24	275	209	15	4	267	41	311	5.36755e-82	259	hypothetical	protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|XES76386.1|	23.636	275	210	15	4	267	41	311	6.86703e-82	259	MAG:	phage major capsid protein [Candidatus Bathyarchaeia archaeon]
JAIPET010000001.1_MCP	gb|MCF7859189.1|	100	268	0	0	1	268	1	268	7.13809e-82	257	phage	major capsid protein [Candidatus Cloacimonadota bacterium] >gb|MCF8012790.1| phage major capsid protein [Candidatus Woesearchaeota archaeon]
JAIPET010000001.1_MCP	gb|MBS7633879.1|	25.818	275	204	15	4	267	41	311	1.72114e-81	258	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
JAIPET010000001.1_MCP	gb|PIO07171.1|	77.985	268	59	0	1	268	1	268	2.24153e-81	256	MAG:	phage major capsid protein [Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_43_7]
JAIPET010000001.1_MCP	gb|MCW4024104.1|	25.091	275	206	15	4	267	41	311	2.33094e-81	258	phage	major capsid protein [Candidatus Bathyarchaeota archaeon]
