QueryID	SubjectID	Identity	AlignmentLen	Mismatch	GapOpen	QueryStart	QueryEnd	SubjectStart	SubjectEnd	E-value	BitScore	SubjectDefID	SubjectDef
QMQO01000002.1_MCP_2	gb|MEM3875394.1|	15.058	259	220	18	3	244	53	310	8.98905e-75	240	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM3760319.1|	15.444	259	219	18	3	244	53	310	1.16683e-74	240	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM4700657.1|	14.672	259	221	18	3	244	53	310	1.2055e-74	240	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM2971509.1|	14.672	259	221	18	3	244	53	310	4.8455e-74	238	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM2463758.1|	15.058	259	220	18	3	244	53	310	4.95197e-74	238	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM1540529.1|	15.058	259	220	18	3	244	53	310	5.52046e-74	238	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM3596514.1|	15.058	259	220	18	3	244	53	310	6.1542e-74	238	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM3577564.1|	14.683	252	215	17	10	244	59	310	8.44177e-73	235	phage	major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3704697.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM3697129.1|	17.375	259	214	18	3	244	53	310	1.50138e-72	234	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM3699836.1|	16.602	259	216	18	3	244	53	310	4.54664e-72	233	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MEM2445906.1|	13.889	252	217	17	10	244	60	311	1.12952e-71	232	phage	major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|MBS7608679.1|	13.889	252	217	17	10	244	60	311	1.37339e-71	232	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM1565227.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2242846.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2318848.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM2355733.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
QMQO01000002.1_MCP_2	gb|TET19629.1|	22.088	249	194	18	10	244	78	322	1.50444e-71	232	MAG:	phage major capsid protein [Candidatus Bathyarchaeota archaeon]
QMQO01000002.1_MCP_2	gb|MBS7646326.1|	13.889	252	217	17	10	244	60	311	1.84135e-71	231	phage	major capsid protein [Candidatus Bathyarchaeota archaeon] >gb|MEM2281896.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon] >gb|MEM3361199.1| phage major capsid protein [Candidatus Bathyarchaeia archaeon]
