QueryID	SubjectID	Identity	AlignmentLen	Mismatch	GapOpen	QueryStart	QueryEnd	SubjectStart	SubjectEnd	E-value	BitScore	SubjectDefID	SubjectDef
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|20465392	80.669	269	52	0	1	269	1	269	2.38183e-158	448	IMGVR_UViG_3300014911_000632|3300014911|Ga0180301_1000002951	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|3255886	78.067	269	59	0	1	269	1	269	1.51736e-156	444	IMGVR_UViG_3300004209_000001|3300004209|Ga0066649_1000022923	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|794310	76.58	269	63	0	1	269	1	269	3.89462e-156	443	IMGVR_UViG_3300000574_000014|3300000574|JGI1357J11328_100009957	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|8374612	77.695	269	60	0	1	269	1	269	3.93755e-156	443	IMGVR_UViG_3300007354_000127|3300007354|Ga0104761_1000005218	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|8358103	77.695	269	60	0	1	269	1	269	3.93755e-156	443	IMGVR_UViG_3300007351_000576|3300007351|Ga0104751_1000005292	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|45392739	76.493	268	63	0	1	268	1	268	5.16242e-156	442	IMGVR_UViG_3300027815_000238|3300027815|Ga0209726_100000918	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|70894258	78.113	265	58	0	4	268	1	265	2.64239e-153	435	IMGVR_UViG_3300037484_001942|3300037484|Ga0395807_0000241_22463_23260	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|70561909	78.113	265	58	0	4	268	1	265	2.64239e-153	435	IMGVR_UViG_3300037424_003016|3300037424|Ga0395806_0000551_22463_23260	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|68117799	32.197	264	179	6	6	266	18	278	4.58711e-29	119	IMGVR_UViG_3300035698_009832|3300035698|Ga0374944_563439_5484_6329	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|58390164	32.836	268	180	25	12	266	51	306	1.05593e-26	113	IMGVR_UViG_3300031877_000333|3300031877|Ga0315314_100216114	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|66062026	31.801	261	178	11	12	266	62	317	8.4751e-26	111	IMGVR_UViG_3300034378_000255|3300034378|Ga0374085_199418_101513_102475	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|48801281	34.766	256	167	19	1	242	1	251	1.24378e-25	110	IMGVR_UViG_3300028891_000002|3300028891|Ga0309840_10002652	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|20466129	34.766	256	167	19	1	242	1	251	1.26947e-25	110	IMGVR_UViG_3300014911_000006|3300014911|Ga0180301_1000010551	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|20457906	34.766	256	167	19	1	242	1	251	1.26947e-25	110	IMGVR_UViG_3300014886_000026|3300014886|Ga0180300_1000001819	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|63564222	30.97	268	185	25	12	266	57	312	2.37334e-25	110	IMGVR_UViG_3300033150_002649|3300033150|Ga0366835_10090047	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|32022461	30.224	268	187	25	12	266	53	308	5.91052e-25	109	IMGVR_UViG_3300022223_000281|3300022223|Ga0224501_1000017736	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|32169826	30.224	268	187	25	12	266	66	321	1.52823e-24	108	IMGVR_UViG_3300022539_001278|3300022539|Ga0247426_100003952	-
JAIPET010000001.1_MCP	gnl|BL_ORD_ID|60480560	30.97	268	185	25	12	266	51	306	1.99577e-24	107	IMGVR_UViG_3300032173_001506|3300032173|Ga0315268_1000075015	-
